bookid,username,opentime,closetime,hotspotName,hotspotType,clickResult,clickTime,remarks
1,001,2020-09-15 19:43:23,2020-09-15 19:43:57,p5_nextButton,next_button,,2020-09-15 19:43:41,\N
1,001,2020-09-15 19:43:23,2020-09-15 19:43:57,p6_nextButton,next_button,,2020-09-15 19:43:42,\N
1,001,2020-09-15 19:43:23,2020-09-15 19:43:57,p6_nextButton,next_button,,2020-09-15 19:43:43,\N
1,001,2020-09-15 19:43:23,2020-09-15 19:43:57,p7_nextButton,next_button,,2020-09-15 19:43:44,\N
1,001,2020-09-15 19:43:23,2020-09-15 19:43:57,q6_nextButton,next_button,,2020-09-15 19:43:44,\N
1,001,2020-09-15 19:43:23,2020-09-15 19:43:57,p8_nextButton,next_button,,2020-09-15 19:43:45,\N
1,001,2020-09-15 19:43:23,2020-09-15 19:43:57,p9_nextButton,next_button,,2020-09-15 19:43:46,\N
1,001,2020-09-15 19:43:23,2020-09-15 19:43:57,p6_nextButton,next_button,,2020-09-15 19:43:46,\N
1,001,2020-09-15 19:43:23,2020-09-15 19:43:57,p6_nextButton,next_button,,2020-09-15 19:43:47,\N
1,001,2020-09-15 19:43:23,2020-09-15 19:43:57,p10_nextButton,next_button,,2020-09-15 19:43:48,\N
1,001,2020-09-15 19:43:23,2020-09-15 19:43:57,p11_nextButton,next_button,,2020-09-15 19:43:49,\N
1,001,2020-09-15 19:43:23,2020-09-15 19:43:57,q10_nextButton,next_button,,2020-09-15 19:43:49,\N
1,001,2020-09-15 19:43:23,2020-09-15 19:43:57,q10_nextButton,next_button,,2020-09-15 19:43:49,\N
1,001,2020-09-15 19:43:23,2020-09-15 19:43:57,q10_nextButton,next_button,,2020-09-15 19:43:50,\N
1,001,2020-09-15 19:43:23,2020-09-15 19:43:57,p12_nextButton,next_button,,2020-09-15 19:43:50,\N
1,001,2020-09-15 19:43:23,2020-09-15 19:43:57,p12_nextButton,next_button,,2020-09-15 19:43:50,\N
1,001,2020-09-15 19:43:23,2020-09-15 19:43:57,p12_nextButton,next_button,,2020-09-15 19:43:51,\N
